,precision,recall,f1-score,support
Fact,0.45719489981785066,0.3424283765347885,0.391575663026521,733.0
Policy,0.4852941176470588,0.24812030075187969,0.3283582089552239,133.0
Value,0.5289951305887561,0.7371992597162246,0.615979381443299,1621.0
Value(+),0.3032258064516129,0.16666666666666666,0.21510297482837532,282.0
Value(-),0.4088050314465409,0.22413793103448276,0.289532293986637,580.0
accuracy,0.4944759629740221,0.4944759629740221,0.4944759629740221,0.4944759629740221
macro avg,0.4367029971903639,0.34371050694080846,0.3681097044480112,3349.0
weighted avg,0.47171862692035404,0.4944759629740221,0.46514988041890826,3349.0
